"Column Name","Label"
"B15001_055EA","Annotation of Estimate!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)"
"B15001_055M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)"
"B15001_055MA","Annotation of Margin of Error!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)"
"B15001_056E","Estimate!!Total:!!Female:!!25 to 34 years:!!Some college, no degree"
"B15001_056EA","Annotation of Estimate!!Total:!!Female:!!25 to 34 years:!!Some college, no degree"
"B15001_056M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Some college, no degree"
"B15001_056MA","Annotation of Margin of Error!!Total:!!Female:!!25 to 34 years:!!Some college, no degree"
"B15001_057E","Estimate!!Total:!!Female:!!25 to 34 years:!!Associate's degree"
"B15001_057M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Associate's degree"
"B15001_057MA","Annotation of Margin of Error!!Total:!!Female:!!25 to 34 years:!!Associate's degree"
"B15001_057EA","Annotation of Estimate!!Total:!!Female:!!25 to 34 years:!!Associate's degree"
"B15001_058E","Estimate!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree"
"B15001_058M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree"
"B15001_058MA","Annotation of Margin of Error!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree"
"B15001_058EA","Annotation of Estimate!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree"
"B15001_059E","Estimate!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree"
"B15001_059M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree"
"B15001_059MA","Annotation of Margin of Error!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree"
"B15001_059EA","Annotation of Estimate!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree"
"B15001_060E","Estimate!!Total:!!Female:!!35 to 44 years:"
"B15001_060M","Margin of Error!!Total:!!Female:!!35 to 44 years:"
"B15001_060MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:"
"B15001_060EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:"
"B15001_061E","Estimate!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade"
"B15001_061M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade"
"B15001_061MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade"
"B15001_061EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade"
"B15001_062E","Estimate!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_062M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_062MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_062EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_063E","Estimate!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_063EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_063M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_063MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_064E","Estimate!!Total:!!Female:!!35 to 44 years:!!Some college, no degree"
"B15001_064M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Some college, no degree"
"B15001_064MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:!!Some college, no degree"
"B15001_064EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:!!Some college, no degree"
"B15001_065E","Estimate!!Total:!!Female:!!35 to 44 years:!!Associate's degree"
"B15001_065EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:!!Associate's degree"
"B15001_065M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Associate's degree"
"B15001_065MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:!!Associate's degree"
"B15001_066E","Estimate!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree"
"B15001_066EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree"
"B15001_066M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree"
"B15001_066MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree"
"B15001_067E","Estimate!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree"
"B15001_067M","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree"
"B15001_067MA","Annotation of Margin of Error!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree"
"B15001_067EA","Annotation of Estimate!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree"
"B15001_068E","Estimate!!Total:!!Female:!!45 to 64 years:"
"B15001_068M","Margin of Error!!Total:!!Female:!!45 to 64 years:"
"B15001_068MA","Annotation of Margin of Error!!Total:!!Female:!!45 to 64 years:"
