"Column Name","Label"
"B15001_075MA","Annotation of Margin of Error!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree"
"B15001_075EA","Annotation of Estimate!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree"
"B15001_076E","Estimate!!Total:!!Female:!!65 years and over:"
"B15001_076EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:"
"B15001_076M","Margin of Error!!Total:!!Female:!!65 years and over:"
"B15001_076MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:"
"B15001_077E","Estimate!!Total:!!Female:!!65 years and over:!!Less than 9th grade"
"B15001_077EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:!!Less than 9th grade"
"B15001_077M","Margin of Error!!Total:!!Female:!!65 years and over:!!Less than 9th grade"
"B15001_077MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:!!Less than 9th grade"
"B15001_078E","Estimate!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_078EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_078M","Margin of Error!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_078MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_079E","Estimate!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_079M","Margin of Error!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_079MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_079EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_080E","Estimate!!Total:!!Female:!!65 years and over:!!Some college, no degree"
"B15001_080M","Margin of Error!!Total:!!Female:!!65 years and over:!!Some college, no degree"
"B15001_080MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:!!Some college, no degree"
"B15001_080EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:!!Some college, no degree"
"B15001_081E","Estimate!!Total:!!Female:!!65 years and over:!!Associate's degree"
"B15001_081EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:!!Associate's degree"
"B15001_081M","Margin of Error!!Total:!!Female:!!65 years and over:!!Associate's degree"
"B15001_081MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:!!Associate's degree"
"B15001_082E","Estimate!!Total:!!Female:!!65 years and over:!!Bachelor's degree"
"B15001_082M","Margin of Error!!Total:!!Female:!!65 years and over:!!Bachelor's degree"
"B15001_082MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:!!Bachelor's degree"
"B15001_082EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:!!Bachelor's degree"
"B15001_083E","Estimate!!Total:!!Female:!!65 years and over:!!Graduate or professional degree"
"B15001_083M","Margin of Error!!Total:!!Female:!!65 years and over:!!Graduate or professional degree"
"B15001_083MA","Annotation of Margin of Error!!Total:!!Female:!!65 years and over:!!Graduate or professional degree"
"B15001_083EA","Annotation of Estimate!!Total:!!Female:!!65 years and over:!!Graduate or professional degree"
