ZipCode/Item,,,,2022-3347 Sport Fishing License (Free - Nonres Developmentally Impaired),2022-3348 Sport Fishing License (Free - Nonres Visually Impaired),,2022-3340 Sport Fishing License (Free - Res Developmentally Impaired),2022-3341 Sport Fishing License (Free - Res Mobility Impaired),2022-3343 Sport Fishing License (Free - Res Native American w/Low Income),2022-3342 Sport Fishing License (Free - Res Visually Impaired),,2022-1020 Sport Fishing License (Nonres),2022-3310 Sport Fishing License (Reduced - Disabled Veteran),,2022-3312 Sport Fishing License (Reduced - Recovering Service Member),,2022-3311 Sport Fishing License (Reduced - Res Senior w/Low Income),,2022-1010 Sport Fishing License (Res),,2022-1011 Sport Fishing License (Res)  - Voucher Redemption,2022-1017 Sport Fishing License - Lifetime,2022-1043 Sport Fishing 1-Day License (Quick-Sale),2022-1040 Sport Fishing 1-Day License (Res/Nonres),2022-1041 Sport Fishing 1-Day License (Res/Nonres) (TAN),2022-0230 Sport Fishing 10-Day License (Nonres),2022-0250 Sport Fishing 2-Day License (Res/Nonres),2022-1510 SHARE Fishing Multi Choice Application,2022-1000 North Coast Salmon Report Card,2022-1007 North Coast Salmon Report Card - Lifetime,2022-0271 Spiny Lobster Report Card (Full Season),2022-1030 Steelhead Report And Restoration Card,2022-1037 Steelhead Report and Restoration Card - Lifetime,2022-0260 Sturgeon Fishing Report Card,2022-1080 Recreational Crab Trap Validation,2022-1081 Recreational Crab Trap Validation (TAN),2022-0220 Second-Rod Sport Fishing Validation,2022-0227 Second-Rod Sport Fishing Validation - Lifetime,2022-1070 Sport Ocean Enhancement Validation,2022-1077 Sport Ocean Enhancement Validation - Lifetime,2022-1019 Gift Voucher for Resident Sport Fishing License - Not Valid until Redeemed,2022-9010 Multi-day Trip Declaration,2022-9012 Multi-day Trip Declaration - CPFV,2022-0275 Spiny Lobster Non-Reporting Fee,Grand Total
90706,,,,,,,,,,,,3,10,,,,,,642,,3,7,,142,,1,22,4,,,84,,,,1,,147,4,584,4,,,,10,1668
90712,,,,,,,2,12,,2,,,8,,,,,,1261,,3,6,,426,,3,63,,1,,116,3,,,26,,432,5,998,5,5,,,22,3399
90717,,,,,,,,,,,,2,2,,,,,,418,,3,5,,117,,,7,,2,,79,3,,,0,,70,3,421,3,,,,10,1145
90720,,,,,,,,1,,,,3,14,,,,,,681,,5,8,,103,,7,17,,1,,114,4,,,2,,200,1,649,1,1,,,20,1832
90723,,,,,,,,1,,1,,,,,,,,,90,,,,,48,,1,6,,,,,,,,,,26,,73,,,,,,246
90731,,,,,,,3,4,0,,,21,20,,,,,,3254,,13,19,9242,683,,35,231,,1,,946,3,,1,9,,475,7,3384,8,7,,,170,18536
90740,,,,,,,3,17,8,,,,2,,,,131,,2,,,135,,,,,,,,,,,,1,1,,71,53,77,55,,224,193,,973
90746,,,,,,,3,15,,,,,10,,,,,,787,,1,3,,279,,2,32,,,,72,,,,1,,237,1,691,1,2,,,21,2158
90755,,,,,,,,9,,1,,7,20,,,,,,1626,,7,18,,259,,6,49,,4,,185,3,,3,2,,613,5,1409,5,6,,,48,4285
90802,,,,,,,,3,,,,6,10,,,,,,757,,4,0,6383,48,,,55,,,,75,,,,4,,93,,947,,4,,,14,8403
90803,,,,,,,,,,,,1,,,,,,,103,,,,,82,,3,7,,,,55,,,,,,5,,103,,,,,10,369
90804,,,,,,,1,5,,1,,11,21,,,,,,1525,,14,19,,450,,7,87,,3,,295,9,,,5,,394,10,1400,10,4,,,76,4347
90805,,,,,,,,,,,,,1,,,,,,120,,2,,,31,,,9,,,,,,,,,,69,,72,,1,,,,305
90808,,,,,,,,3,,,,1,7,,,,,,483,,5,1,,143,,4,36,,,,12,,,,4,,166,1,364,1,2,,,2,1235
91010,,,,,,,2,8,,1,,1,4,,,,,,587,,12,1,,277,,6,27,,,,18,,,,6,,251,,328,,3,,,2,1534
91042,,,,,,,1,1,,1,,4,10,,,,,,1085,,17,8,,281,,,105,,3,1,24,8,1,2,1,,473,4,644,4,15,,,1,2694
91103,,,,,,,2,10,,1,,1,9,,,,,,839,,5,14,,201,,2,48,,1,,21,6,,,1,,292,7,613,7,2,,,1,2083
91105,,,,,,,,3,,,,2,4,,,,,,480,,7,4,,98,,,15,,2,,37,4,,1,3,,184,3,297,3,2,,,10,1159
91107,,,,,,,2,3,,,,4,7,,,,,,1028,,11,13,,447,,4,105,,3,1,79,9,,,9,,353,5,678,5,24,,,7,2797
91203,,,,,,,1,13,,,,3,1,,,,,,1033,,8,6,,374,,1,87,,2,,44,3,,,11,,497,1,624,1,,,,7,2717
91210,,,,,,,1,,,,,,1,,,,,,111,,,,,38,,1,11,,,,4,1,,1,2,,31,,55,,,,,,257
91303,,,,,,,,2,,,,3,3,,,,,,979,,7,1,,235,,7,73,,2,,74,9,,1,7,,333,,713,,9,,,22,2480
91307,,,,,,,,,,,,,,,,,,,14,,,,,1,,,,,,,,,,,,,6,,13,,,,,,34
91316,,,,,,,,1,,,,,1,,,,,,49,,,,,20,,,4,,,,10,,,,1,,18,,31,,1,,,,136
91324,,,,,,,,5,,,,2,2,,,,,,756,,4,5,,268,,4,53,,3,,38,3,,1,7,,304,3,561,4,1,,,5,2029
91326,,,,,,,,,,,,2,1,,,,,,359,,2,,,92,,1,21,,,,8,,,,5,,148,,220,,,,,1,860
91335,,,,,,,2,9,,1,,6,11,,,,,,1434,,7,6,,322,,,72,,,,113,6,,2,7,,518,,1032,,4,,,25,3577
91344,,,,,,,4,5,,,,4,12,,,,,,1605,,16,12,,468,,1,120,,,2,59,1,2,1,6,,740,5,1114,5,14,,,16,4212
