ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,Total Students All Grades (Includes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22
ANTIOCH CHARTER ACADEMY II DISTRICT,CALIFORNIA,194,194
ANTIOCH UNIFIED,California,15198,15198
APEX ACADEMY DISTRICT,CALIFORNIA,291,291
APPLE VALLEY UNIFIED,California,13306,13306
ARARAT CHARTER DISTRICT,CALIFORNIA,325,325
ARCADIA UNIFIED,California,8669,8669
ARCATA ELEMENTARY,California,468,468
ARCHITECTURECONSTRUCTION & ENGINEER CHTR HIGH(ACE) DISTRICT,CALIFORNIA,263,263
ARCOHE UNION ELEMENTARY,California,464,464
ARENA UNION ELEMENTARY,California,215,215
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,†,†
ARISE HIGH DISTRICT,CALIFORNIA,404,404
ARMONA UNION ELEMENTARY,California,1107,1107
AROMAS - SAN JUAN UNIFIED,California,1024,1024
ARROYO VISTA CHARTER DISTRICT,CALIFORNIA,910,910
ARTS IN ACTION COMMUNITY CHARTER DISTRICT,CALIFORNIA,385,385
ARTS IN ACTION COMMUNITY MIDDLE DISTRICT,CALIFORNIA,255,255
ARVIN UNION,California,2993,2993
ASA CHARTER DISTRICT,CALIFORNIA,238,238
ASCEND DISTRICT,CALIFORNIA,496,496
ASPEN MEADOW PUBLIC DISTRICT,CALIFORNIA,270,270
ASPEN RIDGE PUBLIC DISTRICT,CALIFORNIA,136,136
ASPEN VALLEY PREP ACADEMY DISTRICT,CALIFORNIA,336,336
ASPIRE ALEXANDER TWILIGHT COLLEGE PREPARATORY ACAD DISTRICT,CALIFORNIA,429,429
ASPIRE ALEXANDER TWILIGHT SECONDARY ACADEMY DISTRICT,CALIFORNIA,538,538
ASPIRE ANTONIO MARIA LUGO ACADEMY DISTRICT,CALIFORNIA,410,410
ASPIRE APEX ACADEMY DISTRICT,CALIFORNIA,300,300
ASPIRE BENJAMIN HOLT COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,621,621
ASPIRE BENJAMIN HOLT MIDDLE DISTRICT,CALIFORNIA,568,568
ASPIRE BERKLEY MAYNARD ACADEMY DISTRICT,CALIFORNIA,546,546
ASPIRE CAPITOL HEIGHTS ACADEMY DISTRICT,CALIFORNIA,207,207
ASPIRE CENTENNIAL COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,499,499
ASPIRE COLLEGE ACADEMY DISTRICT,CALIFORNIA,233,233
ASPIRE EAST PALO ALTO CHARTER DISTRICT,CALIFORNIA,597,597
ASPIRE FIRESTONE ACADEMY CHARTER DISTRICT,CALIFORNIA,346,346
ASPIRE GATEWAY ACADEMY CHARTER DISTRICT,CALIFORNIA,341,341
ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,561,561
ASPIRE INSKEEP ACADEMY CHARTER DISTRICT,CALIFORNIA,353,353
ASPIRE JUANITA TATE ACADEMY CHARTER DISTRICT,CALIFORNIA,346,346
ASPIRE JUNIOR COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,329,329
ASPIRE LANGSTON HUGHES ACADEMY DISTRICT,CALIFORNIA,801,801
ASPIRE LIONEL WILSON COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,483,483
ASPIRE MONARCH ACADEMY DISTRICT,CALIFORNIA,408,408
ASPIRE OLLIN UNIVERSITY PREPARATORY ACADEMY DISTRICT,CALIFORNIA,559,559
ASPIRE PACIFIC ACADEMY DISTRICT,CALIFORNIA,555,555
ASPIRE PORT CITY ACADEMY DISTRICT,CALIFORNIA,429,429
ASPIRE RICHMOND CA. COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,585,585
ASPIRE RICHMOND TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,496,496
ASPIRE RIVER OAKS CHARTER DISTRICT,CALIFORNIA,449,449
ASPIRE ROSA PARKS ACADEMY DISTRICT,CALIFORNIA,395,395
ASPIRE SLAUSON ACADEMY CHARTER DISTRICT,CALIFORNIA,328,328
ASPIRE STOCKTON 6-12 SECONDARY ACADEMY DISTRICT,CALIFORNIA,82,82
ASPIRE STOCKTON TK-5 ELEMENTARY ACADEMY DISTRICT,CALIFORNIA,94,94
ASPIRE SUMMIT CHARTER ACADEMY DISTRICT,CALIFORNIA,379,379
ASPIRE TITAN ACADEMY DISTRICT,CALIFORNIA,320,320
ASPIRE TRIUMPH TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,256,256
ASPIRE UNIVERSITY CHARTER DISTRICT,CALIFORNIA,411,411
ASPIRE VANGUARD COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,602,602
ASPIRE VINCENT SHALVEY ACADEMY DISTRICT,CALIFORNIA,437,437
ASSURANCE LEARNING ACADEMY DISTRICT,CALIFORNIA,2920,2920
ATASCADERO UNIFIED,California,4341,4341
ATWATER ELEMENTARY,California,4854,4854
AUBURN UNION ELEMENTARY,California,1650,1650
AUDEO CHARTER DISTRICT,CALIFORNIA,327,327
AUDEO CHARTER II DISTRICT,CALIFORNIA,187,187
AUDEO CHARTER SCHOOL III DISTRICT,CALIFORNIA,106,106
AUDEO VALLEY CHARTER DISTRICT,CALIFORNIA,235,235
AURUM PREPARATORY ACADEMY DISTRICT,CALIFORNIA,164,164
AVESON GLOBAL LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,266,266
AVESON SCHOOL OF LEADERS DISTRICT,CALIFORNIA,358,358
AZUSA UNIFIED,California,7187,7187
B. ROBERTO CRUZ LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,254,254
BAKER VALLEY UNIFIED,California,134,134
BAKERSFIELD CITY,California,29256,29256
BALDWIN PARK UNIFIED,California,10738,10738
BALDY VIEW ROP,California,0,0
BALDY VIEW ROP JPA,California,†,†
BALLARD ELEMENTARY,California,129,129
BALLICO-CRESSEY ELEMENTARY,California,362,362
BALLINGTON ACAD FOR ARTS & SCIS - SAN BERNARDINO DISTRICT,CALIFORNIA,167,167
BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES DISTRICT,CALIFORNIA,211,211
BANGOR UNION ELEMENTARY,California,90,90
BANNING UNIFIED,California,4430,4430
BANTA CHARTER DISTRICT,CALIFORNIA,83,83
BANTA UNIFIED,CALIFORNIA,228,228
BARACK OBAMA CHARTER DISTRICT,CALIFORNIA,414,414
BARONA INDIAN CHARTER DISTRICT,CALIFORNIA,106,106
BARSTOW UNIFIED,California,6401,6401
BASS LAKE JOINT UNION ELEMENTARY,California,846,846
BASSETT UNIFIED,California,3044,3044
BAY AREA TECHNOLOGY DISTRICT,CALIFORNIA,339,339
BAY VIEW ACADEMY DISTRICT,CALIFORNIA,482,482
BAYPOINT PREPARATORY ACADEMY - SAN DIEGO DISTRICT,CALIFORNIA,182,182
BAYSHORE ELEMENTARY,California,350,350
BEAR VALLEY UNIFIED,California,2166,2166
BEARDSLEY ELEMENTARY,California,1853,1853
BEAUMONT UNIFIED,California,11214,11214
BELLA MENTE MONTESSORI ACADEMY DISTRICT,CALIFORNIA,424,424
BELLA VISTA ELEMENTARY,California,338,338
BELLEVIEW ELEMENTARY,California,163,163
BELLEVUE UNION,California,1485,1485
BELLEVUE-SANTA FE CHARTER DISTRICT,CALIFORNIA,159,159
BELLFLOWER UNIFIED,California,10176,10176
BELMONT-REDWOOD SHORES ELEMENTARY,California,3967,3967
BENICIA UNIFIED,California,4364,4364
BENNETT VALLEY UNION ELEMENTARY,California,956,956
BERKELEY UNIFIED,California,9177,9177
BERRYESSA UNION ELEMENTARY,California,6258,6258
BERT CORONA CHARTER DISTRICT,CALIFORNIA,344,344
BERT CORONA CHARTER HIGH DISTRICT,CALIFORNIA,202,202
BEVERLY HILLS UNIFIED,California,3160,3160
BIG CREEK ELEMENTARY,California,34,34
BIG LAGOON UNION ELEMENTARY,California,15,15
BIG OAK FLAT-GROVELAND UNIFIED,California,318,318
BIG PICTURE EDUCATIONAL ACADEMY DISTRICT,CALIFORNIA,555,555
BIG PINE UNIFIED,California,159,159
BIG SPRINGS UNION ELEMENTARY,California,162,162
BIG SUR CHARTER DISTRICT,CALIFORNIA,98,98
BIG SUR UNIFIED,California,17,17
BIG VALLEY JOINT UNIFIED,California,121,121
BIGGS UNIFIED,California,574,574
BIRMINGHAM COMMUNITY CHARTER HIGH DISTRICT,CALIFORNIA,3093,3093
BISHOP UNIFIED,California,1958,1958
BITTERWATER-TULLY ELEMENTARY,California,33,33
BLACK BUTTE UNION ELEMENTARY,California,204,204
BLACK OAK MINE UNIFIED,California,1311,1311
BLAKE ELEMENTARY,California,18,18
BLOCHMAN UNION ELEMENTARY,California,177,177
BLP SCHS SELF-INC. WORKERS COMPENSATION,California,†,†
BLUE LAKE UNION ELEMENTARY,California,172,172
